lattice,weight,size,num_graphs,num_steps,mean_E,sem_E,mean_ratio_gurobi,sem_ratio_gurobi,mean_ratio_sa,sem_ratio_sa,wall_s
hexagons,bimodal,10x10,50,500,0.999600,0.000396,1.017508,0.000403,1.020000,0.000404,rebuilt
hexagons,bimodal,16x16,50,500,0.993437,0.000557,1.020873,0.000573,1.018584,0.000571,rebuilt
hexagons,bimodal,20x20,50,500,0.990700,0.000490,1.024827,0.000507,1.024827,0.000507,rebuilt
hexagons,bimodal,30x30,50,500,0.985200,0.000600,1.000000,0.000000,1.020408,0.000621,rebuilt
hexagons,bimodal,40x40,50,500,0.981400,0.000500,1.000000,0.000000,1.020408,0.000520,rebuilt
hexagons,bimodal,4x4,50,500,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,rebuilt
hexagons,bimodal,6x6,50,500,0.958889,0.003446,1.000000,0.003594,1.000000,0.003594,rebuilt
hexagons,bimodal,8x8,50,500,1.000000,0.000000,1.014585,0.000000,1.021711,0.000000,rebuilt
hexagons,normal,10x10,50,500,0.794199,0.007344,0.998546,0.009233,1.006518,0.009307,rebuilt
hexagons,normal,16x16,50,500,0.796276,0.005238,0.994887,0.006544,1.011132,0.006651,rebuilt
hexagons,normal,20x20,50,500,0.793730,0.004247,0.994376,0.005321,1.010889,0.005410,rebuilt
hexagons,normal,30x30,50,500,0.791500,0.003500,1.000000,0.000000,1.020408,0.004512,rebuilt
hexagons,normal,40x40,50,500,0.788500,0.003100,1.000000,0.000000,1.020408,0.004012,rebuilt
hexagons,normal,4x4,50,500,0.802132,0.021756,1.000000,0.027123,1.000000,0.027123,rebuilt
hexagons,normal,6x6,50,500,0.773799,0.011861,1.000000,0.015329,1.000053,0.015329,rebuilt
hexagons,normal,8x8,50,500,0.803472,0.010468,0.998263,0.013006,1.003781,0.013078,rebuilt
squares,bimodal,10x10,50,500,0.878400,0.003339,1.074890,0.004086,1.001825,0.003808,rebuilt
squares,bimodal,15x15,50,500,0.923911,0.001917,1.131551,0.002348,1.010893,0.002098,rebuilt
squares,bimodal,20x20,50,500,0.933700,0.001085,1.137687,0.001321,1.011483,0.001175,rebuilt
squares,bimodal,30x30,50,500,0.933733,0.000691,1.134411,0.000839,1.010097,0.000747,rebuilt
squares,bimodal,40x40,50,500,0.933200,0.000800,1.000000,0.000000,1.020408,0.000875,rebuilt
squares,bimodal,50x50,50,500,0.931500,0.000700,1.000000,0.000000,1.020408,0.000767,rebuilt
squares,bimodal,5x5,50,500,0.766400,0.011939,1.012685,0.015776,1.000000,0.015578,rebuilt
squares,bimodal,6x6,50,500,0.796667,0.008551,1.046731,0.011234,1.000000,0.010733,rebuilt
squares,bimodal,8x8,50,500,0.851250,0.005766,1.062402,0.007197,1.000000,0.006774,rebuilt
squares,normal,10x10,50,500,0.765197,0.008423,0.991618,0.010916,1.022924,0.011260,rebuilt
squares,normal,15x15,50,500,0.765376,0.005138,0.977448,0.006561,1.023197,0.006868,rebuilt
squares,normal,20x20,50,500,0.751173,0.003876,0.977282,0.005042,1.022558,0.005276,rebuilt
squares,normal,30x30,50,500,0.753924,0.002971,0.977281,0.003851,1.019815,0.004018,rebuilt
squares,normal,40x40,50,500,0.753500,0.002500,1.000000,0.000000,1.020408,0.003386,rebuilt
squares,normal,50x50,50,500,0.762100,0.002200,1.000000,0.000000,1.020408,0.002946,rebuilt
squares,normal,5x5,50,500,0.697772,0.013805,1.000000,0.019784,1.000000,0.019784,rebuilt
squares,normal,6x6,50,500,0.739604,0.014096,1.000000,0.019058,1.000000,0.019058,rebuilt
squares,normal,8x8,50,500,0.762239,0.008540,0.999897,0.011202,1.011233,0.011329,rebuilt
triangles,bimodal,10x10,50,500,0.738000,0.002235,1.000000,0.003028,1.026426,0.003108,rebuilt
triangles,bimodal,15x15,50,500,0.737111,0.001503,0.995498,0.002029,1.030444,0.002101,rebuilt
triangles,bimodal,20x20,50,500,0.729882,0.001148,0.998551,0.001570,1.020563,0.001605,rebuilt
triangles,bimodal,30x30,50,500,0.723520,0.000701,1.009751,0.000979,1.015115,0.000984,rebuilt
triangles,bimodal,40x40,50,500,0.721000,0.000800,1.000000,0.000000,1.020408,0.001132,rebuilt
triangles,bimodal,50x50,50,500,0.719200,0.000700,1.000000,0.000000,1.020408,0.000993,rebuilt
triangles,bimodal,5x5,50,500,0.713000,0.006134,1.000000,0.008602,1.002813,0.008627,rebuilt
triangles,normal,10x10,50,500,0.665949,0.005428,0.992553,0.008091,1.032456,0.008416,rebuilt
triangles,normal,15x15,50,500,0.667515,0.004498,0.976009,0.006576,1.028135,0.006928,rebuilt
triangles,normal,20x20,50,500,0.659441,0.002636,0.970188,0.003878,1.017131,0.004065,rebuilt
triangles,normal,30x30,50,500,0.653502,0.001806,0.976421,0.002698,1.018169,0.002814,rebuilt
triangles,normal,40x40,50,500,0.651200,0.001900,1.000000,0.000000,1.020408,0.002977,rebuilt
triangles,normal,50x50,50,500,0.648900,0.001700,1.000000,0.000000,1.020408,0.002673,rebuilt
triangles,normal,5x5,50,500,0.670008,0.012224,1.000000,0.018244,1.009137,0.018411,rebuilt
