graph_id,made_best_E,ratio_vs_xlsx_gurobi_mean,ratio_vs_xlsx_sa_mean,time_s
0,0.984681,1.0,1.01987,255.93
1,0.982955,1.0,1.018083,239.78
2,0.98119,1.0,1.016255,265.19
3,0.989207,1.0,1.024558,228.64
4,0.983024,1.0,1.018154,257.14
5,0.983934,1.0,1.019097,236.84
6,0.980725,1.0,1.015773,246.93
7,0.983796,1.0,1.018954,226.25
8,0.982551,1.0,1.017664,219.75
9,0.976757,1.0,1.011663,259.91
10,0.981951,1.0,1.017043,236.69
11,0.989152,1.0,1.024502,253.92
12,0.991891,1.0,1.027338,234.06
13,0.985277,1.0,1.020488,253.94
14,0.985915,1.0,1.021149,236.81
15,0.987061,1.0,1.022336,227.35
16,0.994679,1.0,1.030226,249.82
17,0.981174,1.0,1.016238,253.43
18,0.980027,1.0,1.015051,249.75
19,0.985527,1.0,1.020747,240.25
20,0.987553,1.0,1.022845,220.84
21,0.98561,1.0,1.020833,229.07
22,0.979562,1.0,1.014569,233.51
23,0.989782,1.0,1.025154,238.88
24,0.985134,1.0,1.02034,255.68
25,0.988281,1.0,1.023599,240.58
26,0.992817,1.0,1.028297,216.51
27,0.979113,1.0,1.014104,210.65
28,0.977954,1.0,1.012904,233.59
29,0.988332,1.0,1.023652,235.79
30,0.976518,1.0,1.011416,246.3
31,0.983945,1.0,1.019108,224.42
32,0.983166,1.0,1.018302,225.27
33,0.987397,1.0,1.022684,247.49
34,0.982735,1.0,1.017855,258.14
35,0.987997,1.0,1.023305,218.24
36,0.980914,1.0,1.015969,232.7
37,0.980118,1.0,1.015145,255.45
38,0.985849,1.0,1.021081,253.29
39,0.98624,1.0,1.021486,230.8
40,0.987103,1.0,1.022379,256.03
41,0.992484,1.0,1.027953,242.54
42,0.99158,1.0,1.027017,249.99
43,0.987814,1.0,1.023115,233.48
44,0.989439,1.0,1.024799,245.54
45,0.986953,1.0,1.022224,227.89
46,0.991121,1.0,1.026541,235.38
47,0.987415,1.0,1.022703,238.41
48,0.983253,1.0,1.018391,243.7
49,0.982343,1.0,1.017449,271.12
