step,beta,loss,buf_mean_E,buf_best_E
0,0.0010,89.320457,-0.012500,0.437500
1,0.0010,89.206436,-0.015625,0.906250
2,0.0010,89.249168,-0.031250,0.906250
3,0.0010,89.405594,0.046875,0.906250
4,0.0010,89.268036,0.048438,0.906250
5,0.0010,89.101135,0.007812,0.906250
6,0.0010,89.272858,0.009375,0.906250
7,0.0010,89.432869,-0.004687,0.906250
8,0.0010,89.033455,-0.032813,0.906250
9,0.0010,89.087181,0.006250,0.906250
10,0.0010,88.985619,0.029687,0.906250
11,0.0010,89.312630,-0.025000,0.906250
12,0.0010,88.816948,0.042188,0.906250
13,0.0010,89.318375,0.007812,0.906250
14,0.0010,89.147957,-0.007812,0.906250
15,0.0010,88.960503,-0.021875,0.906250
16,0.0010,89.515625,-0.028125,0.906250
17,0.0010,88.934830,-0.032813,0.906250
18,0.0010,89.536377,-0.003125,0.906250
19,0.0010,89.295464,0.017188,0.906250
20,0.0010,89.098289,0.017188,0.906250
21,0.0010,88.787621,0.028125,0.906250
22,0.0010,88.945465,-0.018750,0.906250
23,0.0010,89.388710,-0.040625,0.906250
24,0.0010,88.885872,-0.040625,0.906250
25,0.0010,89.079758,0.001563,0.906250
26,0.0010,89.230278,-0.051562,0.906250
27,0.0010,89.210915,0.034375,0.906250
28,0.0010,88.943626,0.032813,0.906250
29,0.0010,89.506592,0.028125,0.906250
30,0.0010,89.081688,0.003125,0.906250
31,0.0010,89.409370,0.000000,0.906250
32,0.0010,88.929245,0.029687,0.906250
33,0.0010,89.047798,-0.012500,0.906250
34,0.0010,89.040672,-0.009375,0.906250
35,0.0010,89.106064,0.021875,0.906250
36,0.0010,88.874626,-0.007812,0.906250
37,0.0010,89.538994,0.031250,0.906250
38,0.0010,89.203918,0.031250,0.906250
39,0.0010,89.522713,-0.007812,0.906250
40,0.0010,88.628517,0.017188,0.906250
41,0.0010,89.551109,0.028125,0.906250
42,0.0010,88.738548,-0.035937,0.906250
43,0.0010,89.070618,-0.018750,0.906250
44,0.0010,89.509392,-0.010937,0.906250
45,0.0010,88.791924,-0.010937,0.906250
46,0.0010,89.720154,0.025000,0.906250
47,0.0010,88.946548,-0.023438,0.906250
48,0.0010,89.244377,0.014063,0.906250
49,0.0010,88.831314,-0.006250,0.906250
50,0.0010,89.405449,-0.026562,0.906250
51,0.0121,89.127747,0.006250,0.906250
52,0.0233,89.359390,0.075000,0.906250
53,0.0344,88.868958,0.043750,0.906250
54,0.0455,89.376602,0.064062,0.906250
55,0.0567,89.000931,0.040625,0.906250
56,0.0678,89.269691,0.068750,0.906250
57,0.0789,89.485008,0.071875,0.906250
58,0.0901,89.361374,0.121875,0.906250
59,0.1012,89.086784,0.095312,0.906250
60,0.1123,88.914665,0.145313,0.906250
61,0.1235,89.360512,0.104688,0.906250
62,0.1346,89.355850,0.148438,0.906250
63,0.1457,89.493523,0.104688,0.906250
64,0.1569,89.108780,0.209375,0.906250
65,0.1680,89.440491,0.165625,0.906250
66,0.1791,88.833511,0.173437,0.906250
67,0.1903,88.820946,0.210938,0.906250
68,0.2014,88.750420,0.207813,0.906250
69,0.2125,89.025688,0.125000,0.906250
70,0.2237,89.038269,0.245312,0.906250
71,0.2348,89.110519,0.256250,0.906250
72,0.2459,89.419411,0.287500,0.906250
73,0.2571,89.222351,0.229687,0.906250
74,0.2682,89.158127,0.203125,0.906250
75,0.2793,89.190262,0.271875,0.906250
76,0.2905,89.194084,0.243750,0.906250
77,0.3016,88.823608,0.279687,0.906250
78,0.3127,89.368729,0.350000,0.906250
79,0.3239,89.001396,0.292187,0.906250
80,0.3350,88.895813,0.326562,0.906250
81,0.3461,89.079712,0.354687,0.906250
82,0.3573,88.997513,0.356250,0.906250
83,0.3684,89.242828,0.370312,0.906250
84,0.3795,89.745674,0.360938,0.906250
85,0.3907,89.102371,0.357812,0.906250
86,0.4018,89.275124,0.318750,0.906250
87,0.4129,89.197701,0.389062,0.906250
88,0.4241,89.361656,0.421875,0.906250
89,0.4352,88.932251,0.406250,0.906250
90,0.4463,89.529617,0.425000,0.906250
91,0.4575,89.319412,0.478125,0.906250
92,0.4686,89.166832,0.464062,0.906250
93,0.4797,89.238449,0.403125,0.906250
94,0.4909,89.369019,0.450000,0.906250
95,0.5020,89.472191,0.473438,0.906250
96,0.5131,89.109108,0.446875,0.906250
97,0.5243,89.067101,0.481250,0.906250
98,0.5354,88.969933,0.478125,0.906250
99,0.5465,89.376038,0.503125,0.906250
100,0.5577,88.659241,0.509375,0.906250
101,0.5688,88.969551,0.534375,0.906250
102,0.5799,89.025078,0.534375,0.906250
103,0.5911,89.229523,0.557813,0.906250
104,0.6022,89.609512,0.534375,0.906250
105,0.6133,89.458000,0.517188,0.906250
106,0.6245,89.120750,0.585938,0.906250
107,0.6356,89.234276,0.537500,0.906250
108,0.6468,89.461884,0.507812,0.906250
109,0.6579,88.797569,0.560937,0.906250
110,0.6690,89.735794,0.529687,0.937500
111,0.6802,89.367821,0.578125,0.937500
112,0.6913,89.238762,0.571875,0.937500
113,0.7024,89.453751,0.631250,0.937500
114,0.7136,89.240990,0.603125,0.937500
115,0.7247,89.210022,0.587500,0.937500
116,0.7358,89.170792,0.590625,0.937500
117,0.7470,89.181396,0.637500,0.937500
118,0.7581,89.009560,0.639062,0.937500
119,0.7692,89.392921,0.635938,0.937500
120,0.7804,88.981400,0.685937,0.937500
121,0.7915,89.805290,0.648438,0.937500
122,0.8026,89.084488,0.673438,0.937500
123,0.8138,89.270325,0.642188,0.937500
124,0.8249,89.075638,0.665625,0.937500
125,0.8360,89.004143,0.706250,0.937500
126,0.8472,89.077255,0.689063,0.937500
127,0.8583,89.088150,0.673438,0.937500
128,0.8694,89.188034,0.689063,0.937500
129,0.8806,89.225418,0.701562,0.937500
130,0.8917,89.064018,0.737500,0.937500
131,0.9028,89.208923,0.690625,0.937500
132,0.9140,89.272423,0.735938,0.937500
133,0.9251,89.413445,0.748437,0.968750
134,0.9362,88.951492,0.751563,0.968750
135,0.9474,89.276146,0.743750,0.968750
136,0.9585,89.434044,0.745313,0.968750
137,0.9696,89.127945,0.742188,0.968750
138,0.9808,88.904991,0.751563,0.968750
139,0.9919,89.334389,0.756250,0.968750
140,1.0030,89.096581,0.707812,0.968750
141,1.0142,88.817749,0.784375,0.968750
142,1.0253,89.192505,0.800000,0.968750
143,1.0364,89.068993,0.787500,0.968750
144,1.0476,89.097954,0.765625,0.968750
145,1.0587,88.996231,0.784375,0.968750
146,1.0698,89.021660,0.778125,0.968750
147,1.0810,88.909081,0.770312,0.968750
148,1.0921,88.795494,0.789062,0.968750
149,1.1032,89.169106,0.795312,0.968750
150,1.1144,89.071434,0.815625,0.968750
151,1.1255,89.112663,0.828125,0.968750
152,1.1366,89.129997,0.821875,0.968750
153,1.1478,89.234810,0.821875,0.968750
154,1.1589,88.700890,0.803125,0.968750
155,1.1700,88.792473,0.823438,0.968750
156,1.1812,88.724266,0.845313,0.968750
157,1.1923,88.791046,0.850000,0.968750
158,1.2034,88.876747,0.842187,0.968750
159,1.2146,88.845757,0.821875,0.968750
160,1.2257,89.033363,0.840625,0.968750
161,1.2368,89.044090,0.853125,0.968750
162,1.2480,89.291481,0.835938,0.968750
163,1.2591,89.196381,0.850000,0.968750
164,1.2702,89.026573,0.856250,0.968750
165,1.2814,88.853729,0.859375,0.968750
166,1.2925,88.600098,0.881250,0.968750
167,1.3036,88.625366,0.870313,0.968750
168,1.3148,88.665215,0.887500,1.000000
169,1.3259,88.402229,0.879687,1.000000
170,1.3370,88.331474,0.881250,1.000000
171,1.3482,88.341934,0.871875,1.000000
172,1.3593,88.172218,0.892188,1.000000
173,1.3704,88.248268,0.885938,1.000000
174,1.3816,88.380112,0.889062,1.000000
175,1.3927,88.266052,0.876563,1.000000
176,1.4038,88.065880,0.893750,1.000000
177,1.4150,88.227089,0.881250,1.000000
178,1.4261,88.456749,0.900000,1.000000
179,1.4372,88.351753,0.925000,1.000000
180,1.4484,87.764282,0.918750,1.000000
181,1.4595,87.731583,0.893750,1.000000
182,1.4706,87.660316,0.917188,1.000000
183,1.4818,87.606804,0.906250,1.000000
184,1.4929,87.422188,0.918750,1.000000
185,1.5040,87.175102,0.926562,1.000000
186,1.5152,87.054375,0.923438,1.000000
187,1.5263,86.984253,0.918750,1.000000
188,1.5374,86.470085,0.917188,1.000000
189,1.5486,86.685234,0.909375,1.000000
190,1.5597,86.511490,0.910937,1.000000
191,1.5708,86.588158,0.903125,1.000000
192,1.5820,86.775925,0.900000,1.000000
193,1.5931,86.618752,0.903125,1.000000
194,1.6042,86.690323,0.920312,1.000000
195,1.6154,86.843567,0.910937,1.000000
196,1.6265,86.572777,0.917188,1.000000
197,1.6376,86.428276,0.915625,1.000000
198,1.6488,86.661247,0.914062,1.000000
199,1.6599,86.349342,0.923438,1.000000
200,1.6710,86.285561,0.912500,1.000000
201,1.6822,86.207336,0.910937,1.000000
202,1.6933,86.008545,0.931250,1.000000
203,1.7044,85.742058,0.935937,1.000000
204,1.7156,85.600151,0.940625,1.000000
205,1.7267,85.303246,0.945312,1.000000
206,1.7378,85.004723,0.940625,1.000000
207,1.7490,84.470390,0.943750,1.000000
208,1.7601,83.961906,0.942187,1.000000
209,1.7712,83.509850,0.946875,1.000000
210,1.7824,83.231438,0.943750,1.000000
211,1.7935,82.780632,0.942187,1.000000
212,1.8046,82.499458,0.943750,1.000000
213,1.8158,82.177185,0.937500,1.000000
214,1.8269,82.106804,0.942187,1.000000
215,1.8380,81.642387,0.945312,1.000000
216,1.8492,81.250450,0.943750,1.000000
217,1.8603,80.937599,0.948438,1.000000
218,1.8714,80.223381,0.951562,1.000000
219,1.8826,79.930496,0.953125,1.000000
220,1.8937,79.278557,0.954688,1.000000
221,1.9049,78.883636,0.953125,1.000000
222,1.9160,78.306015,0.954688,1.000000
223,1.9271,78.326042,0.957812,1.000000
224,1.9383,77.554634,0.964063,1.000000
225,1.9494,77.124931,0.959375,1.000000
226,1.9605,76.805702,0.957812,1.000000
227,1.9717,76.618225,0.957812,1.000000
