graph_id,made_best_E,ratio_vs_xlsx_gurobi_mean,ratio_vs_xlsx_sa_mean,time_s
0,0.790721,0.990607,1.007057,138.21
1,0.818926,1.025941,1.042977,136.70
2,0.794874,0.995808,1.012345,133.79
3,0.746499,0.935205,0.950735,164.85
4,0.804918,1.008391,1.025137,168.55
5,0.763858,0.956952,0.972843,118.41
6,0.743334,0.931240,0.946705,124.36
7,0.756614,0.947877,0.963618,134.06
8,0.771246,0.966208,0.982253,314.31
9,0.808979,1.013480,1.030310,187.89
10,0.754725,0.945510,0.961212,136.65
11,0.861974,1.079871,1.097803,171.75
12,0.807876,1.012098,1.028905,175.45
13,0.754510,0.945241,0.960938,180.28
14,0.815884,1.022130,1.039104,174.86
15,0.789163,0.988654,1.005071,173.55
16,0.799223,1.001257,1.017884,176.51
17,0.773370,0.968868,0.984958,172.99
18,0.847145,1.061293,1.078917,177.02
19,0.779451,0.976487,0.992703,175.44
20,0.788559,0.987898,1.004303,175.68
21,0.770060,0.964722,0.980742,181.83
22,0.815418,1.021546,1.038510,177.59
23,0.812677,1.018112,1.035019,172.74
24,0.785588,0.984175,1.000519,173.23
25,0.790415,0.990223,1.006667,176.53
26,0.793199,0.993711,1.010213,171.53
27,0.790116,0.989848,1.006285,174.88
28,0.780716,0.978072,0.994314,173.71
29,0.852043,1.067430,1.085156,172.07
30,0.827172,1.036272,1.053481,170.32
31,0.790370,0.990166,1.006609,168.58
32,0.824272,1.032638,1.049786,170.04
33,0.841154,1.053788,1.071288,176.73
34,0.720128,0.902168,0.917150,173.63
35,0.793105,0.993593,1.010093,174.13
36,0.797317,0.998870,1.015457,172.23
37,0.788837,0.988245,1.004656,173.36
38,0.803803,1.006995,1.023718,148.31
39,0.754845,0.945661,0.961365,173.62
40,0.789474,0.989044,1.005468,177.55
41,0.832002,1.042322,1.059631,176.61
42,0.829461,1.039139,1.056395,112.97
43,0.795702,0.996846,1.013400,113.43
44,0.759487,0.951476,0.967277,126.64
45,0.808738,1.013178,1.030003,328.25
46,0.815902,1.022152,1.039126,173.32
47,0.737928,0.924467,0.939819,297.03
48,0.811151,1.016201,1.033076,176.17
49,0.803586,1.006723,1.023440,1057.98
