step,beta,loss,buf_mean_E,buf_best_E
0,0.0010,22.278440,-0.026811,1.119887
1,0.0010,22.190729,0.138239,1.135589
2,0.0010,22.226622,0.078306,1.135589
3,0.0010,22.177572,-0.076363,1.135589
4,0.0010,22.182613,-0.054285,1.135589
5,0.0010,22.168095,0.029700,1.135589
6,0.0010,22.188658,-0.061554,1.135589
7,0.0010,22.187948,0.134640,1.135589
8,0.0010,22.086634,0.010728,1.135589
9,0.0010,22.221754,-0.180233,1.135589
10,0.0010,22.274691,0.058772,1.135589
11,0.0010,22.305164,0.036330,1.135589
12,0.0010,22.200068,0.054223,1.135589
13,0.0010,22.140051,0.006297,1.135589
14,0.0010,22.075077,0.098047,1.135589
15,0.0010,22.182920,0.056777,1.135589
16,0.0010,22.218079,-0.021468,1.135589
17,0.0010,22.186857,0.146162,1.135589
18,0.0010,22.284283,-0.012261,1.135589
19,0.0010,22.209501,0.009996,1.135589
20,0.0010,22.185549,-0.077508,1.135589
21,0.0010,22.155027,0.031394,1.135589
22,0.0010,22.234335,-0.067041,1.135589
23,0.0010,22.210871,0.111261,1.135589
24,0.0010,22.181261,-0.038111,1.135589
25,0.0010,22.236637,0.167028,1.135589
26,0.0010,22.120968,0.099698,1.135589
27,0.0010,22.234688,-0.101709,1.135589
28,0.0010,22.150984,0.056751,1.135589
29,0.0010,22.203331,-0.029225,1.135589
30,0.0010,22.178993,-0.140038,1.135589
31,0.0010,22.186867,0.025647,1.135589
32,0.0010,22.131451,-0.011096,1.135589
33,0.0010,22.293488,0.038706,1.135589
34,0.0010,22.187117,-0.043129,1.135589
35,0.0010,22.200832,0.098987,1.135589
36,0.0010,22.202749,-0.061872,1.135589
37,0.0010,22.187399,-0.058231,1.135589
38,0.0010,22.291245,0.035227,1.135589
39,0.0010,22.263803,-0.038281,1.135589
40,0.0010,22.138533,0.015922,1.135589
41,0.0010,22.151566,0.005639,1.135589
42,0.0010,22.158461,0.021269,1.135589
43,0.0010,22.276594,-0.207055,1.135589
44,0.0010,22.215797,-0.007786,1.135589
45,0.0010,22.127226,-0.097627,1.135589
46,0.0010,22.193825,0.022399,1.135589
47,0.0010,22.165422,0.136021,1.135589
48,0.0010,22.228586,0.008630,1.135589
49,0.0010,22.242664,0.112266,1.135589
50,0.0010,22.201025,-0.006247,1.135589
51,0.0121,22.183678,-0.017299,1.135589
52,0.0233,22.165722,0.062444,1.135589
53,0.0344,22.186024,-0.073467,1.135589
54,0.0455,22.182667,0.028596,1.135589
55,0.0567,22.174999,0.167156,1.135589
56,0.0678,22.212708,0.172289,1.135589
57,0.0789,22.095442,0.105895,1.135589
58,0.0901,22.258482,0.067300,1.135589
59,0.1012,22.186348,0.212025,1.135589
60,0.1123,22.222372,0.256634,1.135589
61,0.1235,22.185642,0.258605,1.135589
62,0.1346,22.170506,0.288754,1.135589
63,0.1457,22.247976,0.362016,1.135589
64,0.1569,22.148855,0.363466,1.135589
65,0.1680,22.250116,0.351113,1.135589
66,0.1791,22.199339,0.359323,1.135589
67,0.1903,22.202387,0.240856,1.135589
68,0.2014,22.161810,0.435290,1.135589
69,0.2125,22.195473,0.490173,1.135589
70,0.2237,22.231052,0.497036,1.135589
71,0.2348,22.146717,0.511857,1.135589
72,0.2459,22.168869,0.476338,1.135589
73,0.2571,22.228910,0.572252,1.135589
74,0.2682,22.271324,0.468252,1.135589
75,0.2793,22.266788,0.394931,1.135589
76,0.2905,22.212523,0.585107,1.135589
77,0.3016,22.281218,0.515405,1.135589
78,0.3127,22.285431,0.506893,1.135589
