graph_id,made_best_E,ratio_vs_xlsx_gurobi_mean,ratio_vs_xlsx_sa_mean,time_s
0,0.880000,1.076848,1.003650,10.88
1,0.880000,1.076848,1.003650,6.00
2,0.860000,1.052374,0.980839,6.07
3,0.860000,1.052374,0.980839,5.96
4,0.880000,1.076848,1.003650,6.17
5,0.860000,1.052374,0.980839,6.06
6,0.860000,1.052374,0.980839,6.06
7,0.880000,1.076848,1.003650,5.96
8,0.820000,1.003426,0.935219,5.40
9,0.860000,1.052374,0.980839,6.07
10,0.880000,1.076848,1.003650,6.30
11,0.880000,1.076848,1.003650,5.73
12,0.920000,1.125795,1.049270,5.72
13,0.900000,1.101322,1.026460,5.80
14,0.820000,1.003426,0.935219,5.80
15,0.880000,1.076848,1.003650,5.79
16,0.900000,1.101322,1.026460,5.97
17,0.880000,1.076848,1.003650,5.86
18,0.860000,1.052374,0.980839,5.73
19,0.860000,1.052374,0.980839,5.89
20,0.860000,1.052374,0.980839,6.00
21,0.880000,1.076848,1.003650,5.58
22,0.900000,1.101322,1.026460,6.12
23,0.880000,1.076848,1.003650,5.80
24,0.860000,1.052374,0.980839,6.05
25,0.880000,1.076848,1.003650,5.91
26,0.860000,1.052374,0.980839,5.94
27,0.860000,1.052374,0.980839,6.11
28,0.900000,1.101322,1.026460,5.96
29,0.920000,1.125795,1.049270,6.04
30,0.900000,1.101322,1.026460,6.13
31,0.900000,1.101322,1.026460,6.09
32,0.920000,1.125795,1.049270,6.07
33,0.860000,1.052374,0.980839,6.00
34,0.860000,1.052374,0.980839,5.98
35,0.920000,1.125795,1.049270,6.07
36,0.880000,1.076848,1.003650,5.84
37,0.920000,1.125795,1.049270,6.00
38,0.860000,1.052374,0.980839,5.45
39,0.880000,1.076848,1.003650,5.96
40,0.880000,1.076848,1.003650,5.74
41,0.900000,1.101322,1.026460,5.64
42,0.860000,1.052374,0.980839,5.77
43,0.900000,1.101322,1.026460,5.68
44,0.880000,1.076848,1.003650,6.24
45,0.840000,1.027900,0.958029,5.95
46,0.880000,1.076848,1.003650,5.89
47,0.880000,1.076848,1.003650,5.99
48,0.920000,1.125795,1.049270,5.87
49,0.860000,1.052374,0.980839,6.16
