step,beta,loss,buf_mean_E,buf_best_E
0,0.0010,17.352125,0.040000,0.600000
1,0.0010,17.325724,-0.048000,0.760000
2,0.0010,17.381233,-0.032000,0.760000
3,0.0010,17.299068,0.008000,0.760000
4,0.0010,17.306225,0.032000,0.760000
5,0.0010,17.328236,0.024000,0.760000
6,0.0010,17.236837,-0.056000,0.760000
7,0.0010,17.390274,-0.000000,0.760000
8,0.0010,17.380583,-0.000000,0.760000
9,0.0010,17.353903,0.064000,0.760000
10,0.0010,17.353626,-0.008000,0.760000
11,0.0010,17.324064,0.000000,0.760000
12,0.0010,17.328245,-0.024000,0.760000
13,0.0010,17.304615,0.032000,0.760000
14,0.0010,17.368870,-0.080000,0.760000
15,0.0010,17.313236,0.008000,0.760000
16,0.0010,17.393724,0.024000,0.760000
17,0.0010,17.336401,-0.024000,0.760000
18,0.0010,17.366407,0.008000,0.760000
19,0.0010,17.295069,0.040000,0.760000
20,0.0010,17.311079,-0.016000,0.760000
21,0.0010,17.334408,-0.024000,0.760000
22,0.0010,17.302710,0.024000,0.760000
23,0.0010,17.332468,-0.048000,0.760000
24,0.0010,17.362915,-0.072000,0.760000
25,0.0010,17.351414,-0.056000,0.760000
26,0.0010,17.355438,-0.008000,0.760000
27,0.0010,17.291334,0.008000,0.760000
28,0.0010,17.316587,-0.008000,0.760000
29,0.0010,17.376194,0.024000,0.760000
30,0.0010,17.375916,0.024000,0.760000
31,0.0010,17.435352,0.040000,0.760000
32,0.0010,17.270002,-0.024000,0.760000
33,0.0010,17.312735,0.032000,0.760000
34,0.0010,17.422413,0.056000,0.760000
35,0.0010,17.252787,0.024000,0.760000
36,0.0010,17.398026,0.008000,0.760000
37,0.0010,17.300583,-0.016000,0.760000
38,0.0010,17.371555,0.016000,0.760000
39,0.0010,17.305464,0.008000,0.760000
40,0.0010,17.249353,-0.040000,0.760000
41,0.0010,17.347652,0.056000,0.760000
42,0.0010,17.328955,-0.056000,0.760000
43,0.0010,17.381517,-0.024000,0.760000
44,0.0010,17.305668,-0.104000,0.760000
45,0.0010,17.341633,-0.080000,0.760000
46,0.0010,17.371008,0.016000,0.760000
47,0.0010,17.323866,-0.056000,0.760000
48,0.0010,17.295568,0.008000,0.760000
49,0.0010,17.356531,-0.000000,0.760000
50,0.0010,17.375154,-0.032000,0.760000
51,0.0121,17.345762,0.040000,0.760000
52,0.0233,17.366947,-0.000000,0.760000
53,0.0344,17.272253,0.048000,0.760000
54,0.0455,17.337841,0.032000,0.760000
55,0.0567,17.388023,0.080000,0.760000
56,0.0678,17.349335,0.048000,0.760000
57,0.0789,17.346764,0.000000,0.760000
58,0.0901,17.345539,0.072000,0.760000
59,0.1012,17.325174,0.136000,0.760000
60,0.1123,17.268202,0.032000,0.760000
61,0.1235,17.320875,0.264000,0.760000
62,0.1346,17.258114,0.128000,0.760000
63,0.1457,17.314741,0.200000,0.760000
64,0.1569,17.497166,0.200000,0.760000
65,0.1680,17.377317,0.216000,0.760000
66,0.1791,17.412184,0.160000,0.760000
67,0.1903,17.291349,0.184000,0.760000
68,0.2014,17.319538,0.288000,0.760000
69,0.2125,17.383060,0.200000,0.760000
70,0.2237,17.429688,0.240000,0.760000
71,0.2348,17.419167,0.272000,0.760000
72,0.2459,17.361847,0.312000,0.760000
73,0.2571,17.353483,0.168000,0.760000
74,0.2682,17.375805,0.200000,0.760000
75,0.2793,17.296583,0.264000,0.760000
76,0.2905,17.289190,0.312000,0.760000
77,0.3016,17.347300,0.288000,0.760000
78,0.3127,17.325867,0.336000,0.760000
79,0.3239,17.321684,0.336000,0.760000
80,0.3350,17.395082,0.312000,0.760000
81,0.3461,17.283297,0.320000,0.760000
82,0.3573,17.384359,0.344000,0.760000
83,0.3684,17.374262,0.376000,0.760000
84,0.3795,17.387684,0.360000,0.760000
85,0.3907,17.391581,0.352000,0.760000
86,0.4018,17.435059,0.448000,0.760000
87,0.4129,17.325363,0.440000,0.760000
88,0.4241,17.345539,0.456000,0.760000
89,0.4352,17.357410,0.464000,0.760000
90,0.4463,17.313261,0.440000,0.760000
91,0.4575,17.353556,0.416000,0.760000
92,0.4686,17.292410,0.472000,0.760000
93,0.4797,17.338842,0.408000,0.760000
94,0.4909,17.311071,0.496000,0.760000
95,0.5020,17.330744,0.480000,0.760000
96,0.5131,17.350912,0.496000,0.760000
97,0.5243,17.263615,0.528000,0.760000
98,0.5354,17.299065,0.488000,0.760000
99,0.5465,17.398802,0.528000,0.760000
100,0.5577,17.350986,0.520000,0.760000
101,0.5688,17.286961,0.464000,0.760000
102,0.5799,17.341532,0.488000,0.760000
103,0.5911,17.308096,0.512000,0.760000
104,0.6022,17.331091,0.568000,0.760000
105,0.6133,17.318754,0.552000,0.760000
106,0.6245,17.338318,0.568000,0.760000
107,0.6356,17.342142,0.536000,0.760000
108,0.6468,17.322714,0.560000,0.760000
109,0.6579,17.331383,0.592000,0.760000
110,0.6690,17.416157,0.624000,0.760000
111,0.6802,17.351484,0.568000,0.760000
112,0.6913,17.285490,0.632000,0.760000
113,0.7024,17.357582,0.560000,0.760000
114,0.7136,17.372829,0.592000,0.760000
115,0.7247,17.336823,0.632000,0.760000
116,0.7358,17.327785,0.704000,0.760000
117,0.7470,17.403116,0.640000,0.760000
118,0.7581,17.362970,0.576000,0.760000
119,0.7692,17.400883,0.624000,0.760000
120,0.7804,17.323521,0.672000,0.760000
121,0.7915,17.374191,0.648000,0.760000
122,0.8026,17.333872,0.672000,0.760000
