step,beta,loss,buf_mean_E,buf_best_E
0,0.0010,156.955444,0.004943,0.204839
1,0.0010,157.523819,0.001540,0.663465
2,0.0010,157.267624,0.002984,0.663465
3,0.0010,157.380981,0.007957,0.663465
4,0.0010,156.194321,-0.020449,0.663465
5,0.0010,156.841293,-0.025315,0.663465
6,0.0010,157.541733,-0.005642,0.663465
7,0.0010,156.546127,0.014777,0.663465
8,0.0010,157.041489,-0.005199,0.663465
9,0.0010,156.822403,0.010652,0.663465
10,0.0010,156.789856,0.008241,0.663465
11,0.0010,156.673782,0.005285,0.663465
12,0.0010,157.519516,0.002805,0.663465
13,0.0010,157.107437,-0.011249,0.663465
14,0.0010,157.210602,-0.006057,0.663465
15,0.0010,157.349716,-0.015357,0.663465
16,0.0010,157.591965,-0.005003,0.663465
17,0.0010,157.175644,-0.032931,0.663465
18,0.0010,157.266357,-0.001871,0.663465
19,0.0010,157.021591,-0.003403,0.663465
20,0.0010,157.174667,-0.002179,0.663465
21,0.0010,157.789429,0.004182,0.663465
22,0.0010,156.986649,-0.007717,0.663465
23,0.0010,157.843781,-0.016645,0.663465
24,0.0010,157.313629,-0.004628,0.663465
25,0.0010,157.561630,-0.005295,0.663465
26,0.0010,158.017181,-0.021896,0.663465
27,0.0010,157.021240,-0.030079,0.663465
28,0.0010,157.396118,0.005015,0.663465
29,0.0010,157.675491,-0.004166,0.663465
30,0.0010,157.936035,-0.015090,0.663465
31,0.0010,157.101028,-0.005218,0.663465
32,0.0010,157.685196,-0.012367,0.663465
33,0.0010,157.976364,-0.011903,0.663465
34,0.0010,158.280380,0.012485,0.663465
35,0.0010,157.813797,-0.008149,0.663465
36,0.0010,157.669800,0.001918,0.663465
37,0.0010,158.008179,-0.024125,0.663465
38,0.0010,157.263901,0.026525,0.663465
39,0.0010,157.389282,0.015679,0.663465
40,0.0010,157.274948,-0.001654,0.663465
41,0.0010,157.228470,-0.016499,0.663465
42,0.0010,156.810654,0.001456,0.663465
43,0.0010,158.540451,0.003825,0.663465
44,0.0010,156.889999,-0.015673,0.663465
45,0.0010,156.970383,0.000817,0.663465
46,0.0010,157.727844,-0.017218,0.663465
47,0.0010,157.115631,0.021804,0.663465
48,0.0010,157.683121,-0.031657,0.663465
49,0.0010,157.010300,0.018884,0.663465
50,0.0010,158.107773,-0.002793,0.663465
51,0.0121,157.753159,0.031511,0.663465
