graph_id,made_best_E,ratio_vs_xlsx_gurobi_mean,ratio_vs_xlsx_sa_mean,time_s
0,0.735327,0.939073,0.983026,46.08
1,0.738698,0.943377,0.987531,45.53
2,0.701265,0.895572,0.937489,45.47
3,0.772376,0.986386,1.032554,44.96
4,0.768585,0.981546,1.027487,45.01
5,0.756821,0.966522,1.011760,48.15
6,0.771909,0.985790,1.031930,45.43
7,0.751610,0.959867,1.004794,45.69
8,0.727326,0.928855,0.972330,46.70
9,0.720488,0.920122,0.963188,45.42
10,0.825391,1.054091,1.103428,45.53
11,0.746871,0.953815,0.998458,44.79
12,0.736090,0.940047,0.984045,45.91
13,0.865301,1.105060,1.156782,45.33
14,0.726768,0.928142,0.971583,45.39
15,0.800204,1.021926,1.069757,44.72
16,0.737863,0.942311,0.986415,45.29
17,0.747377,0.954461,0.999135,44.81
18,0.772936,0.987102,1.033303,45.71
19,0.784777,1.002224,1.049133,45.91
20,0.777580,0.993032,1.039511,45.36
21,0.727648,0.929266,0.972760,45.76
22,0.781328,0.997819,1.044521,45.27
23,0.818541,1.045343,1.094270,45.03
24,0.754359,0.963378,1.008469,45.98
25,0.776515,0.991672,1.038087,44.21
26,0.792092,1.011566,1.058913,45.80
27,0.710909,0.907888,0.950382,44.60
28,0.705875,0.901460,0.943653,44.73
29,0.774549,0.989162,1.035459,46.85
30,0.707960,0.904122,0.946440,45.04
31,0.769981,0.983328,1.029353,44.52
32,0.742478,0.948205,0.992586,45.57
33,0.810494,1.035066,1.083512,45.56
34,0.731983,0.934801,0.978554,44.89
35,0.771051,0.984695,1.030784,45.69
36,0.778510,0.994220,1.040754,45.56
37,0.803924,1.026677,1.074730,45.45
38,0.793568,1.013451,1.060885,44.30
39,0.731774,0.934535,0.978276,44.84
40,0.804524,1.027442,1.075532,45.68
41,0.751829,0.960146,1.005086,44.80
42,0.817312,1.043774,1.092628,45.80
43,0.800144,1.021849,1.069677,46.18
44,0.763109,0.974552,1.020166,44.86
45,0.794303,1.014389,1.061868,44.94
46,0.696680,0.889717,0.931360,44.89
47,0.802174,1.024442,1.072390,45.16
48,0.808018,1.031905,1.080203,48.90
49,0.781631,0.998206,1.044927,46.20
