step,beta,loss,buf_mean_E,buf_best_E
0,0.0010,532.860352,0.003200,0.086667
1,0.0010,534.319824,0.004400,0.665333
2,0.0010,533.414551,-0.008000,0.665333
3,0.0010,533.662598,0.002933,0.665333
4,0.0010,533.536743,0.003067,0.665333
5,0.0010,534.446472,0.003733,0.665333
6,0.0010,534.563782,-0.007600,0.665333
7,0.0010,532.012939,0.009600,0.665333
8,0.0010,534.479614,0.003333,0.665333
9,0.0010,534.306091,0.008667,0.665333
10,0.0010,535.862427,0.001467,0.665333
11,0.0010,535.828125,-0.003067,0.665333
12,0.0010,535.281860,0.005333,0.665333
13,0.0010,535.046021,-0.006533,0.665333
14,0.0010,532.619934,-0.000133,0.665333
15,0.0010,534.560852,-0.003200,0.665333
16,0.0010,537.350403,-0.000933,0.665333
17,0.0010,536.337097,0.008667,0.665333
18,0.0010,535.551086,-0.000800,0.665333
19,0.0010,534.816711,0.003333,0.665333
20,0.0010,534.950623,0.005067,0.665333
21,0.0010,533.867615,-0.001867,0.665333
22,0.0010,533.647461,-0.003333,0.665333
23,0.0010,538.492126,0.004800,0.665333
24,0.0010,535.458008,0.005600,0.665333
25,0.0010,534.313782,0.005333,0.665333
26,0.0010,533.691589,0.000133,0.665333
27,0.0010,536.972961,0.004800,0.665333
28,0.0010,533.585693,0.002400,0.665333
29,0.0010,535.083679,0.002800,0.665333
30,0.0010,533.808044,0.009200,0.665333
31,0.0010,535.770630,0.010533,0.665333
32,0.0010,536.691223,-0.001333,0.665333
33,0.0010,536.255371,-0.002667,0.665333
34,0.0010,535.799927,0.001467,0.665333
35,0.0010,535.348328,0.001067,0.665333
36,0.0010,534.910461,0.005067,0.665333
37,0.0010,532.816895,0.001467,0.665333
38,0.0010,536.571472,-0.001467,0.665333
39,0.0010,538.129211,-0.005467,0.665333
40,0.0010,535.026611,0.003067,0.665333
41,0.0010,535.516907,0.001067,0.665333
42,0.0010,537.146851,-0.002400,0.665333
43,0.0010,538.361633,-0.002400,0.665333
44,0.0010,536.902954,-0.007600,0.665333
45,0.0010,537.026062,-0.005467,0.665333
46,0.0010,535.752930,-0.001467,0.665333
47,0.0010,534.058105,-0.001867,0.665333
48,0.0010,534.933044,0.009733,0.665333
49,0.0010,536.393921,0.004000,0.665333
50,0.0010,535.938354,-0.001733,0.665333
51,0.0121,536.782776,0.001200,0.665333
52,0.0233,535.349060,0.017600,0.665333
53,0.0344,536.674988,0.030267,0.665333
54,0.0455,536.789246,0.044000,0.665333
55,0.0567,539.166199,0.044933,0.665333
56,0.0678,536.004578,0.073333,0.665333
57,0.0789,534.572449,0.073067,0.665333
58,0.0901,536.023010,0.088000,0.665333
59,0.1012,535.733093,0.096667,0.665333
60,0.1123,536.888062,0.106000,0.665333
61,0.1235,534.041138,0.125333,0.665333
62,0.1346,535.320984,0.128800,0.665333
63,0.1457,535.781006,0.153733,0.665333
64,0.1569,534.887329,0.153067,0.665333
65,0.1680,534.986938,0.168000,0.665333
66,0.1791,535.147217,0.168533,0.665333
67,0.1903,536.025391,0.182267,0.665333
68,0.2014,535.188599,0.201333,0.665333
69,0.2125,535.179321,0.207067,0.665333
70,0.2237,538.103638,0.214267,0.665333
71,0.2348,535.217529,0.238000,0.665333
72,0.2459,535.490662,0.244400,0.665333
73,0.2571,534.911255,0.250933,0.665333
74,0.2682,535.434265,0.264533,0.665333
75,0.2793,536.025574,0.268933,0.665333
76,0.2905,536.726074,0.275733,0.665333
77,0.3016,536.886475,0.285200,0.665333
78,0.3127,535.337280,0.304800,0.665333
79,0.3239,533.873718,0.317733,0.665333
80,0.3350,536.442322,0.322133,0.665333
81,0.3461,532.164429,0.327467,0.665333
82,0.3573,537.264343,0.340533,0.665333
83,0.3684,537.111755,0.354533,0.665333
84,0.3795,534.273560,0.354133,0.665333
85,0.3907,535.413147,0.376533,0.665333
86,0.4018,537.520020,0.379067,0.665333
87,0.4129,535.671387,0.390133,0.665333
88,0.4241,535.649902,0.391200,0.665333
89,0.4352,534.542175,0.407067,0.665333
90,0.4463,536.963562,0.404800,0.665333
91,0.4575,534.039185,0.425333,0.665333
92,0.4686,534.838562,0.431867,0.665333
93,0.4797,533.753052,0.437867,0.665333
94,0.4909,533.071289,0.454267,0.665333
95,0.5020,532.054504,0.461733,0.665333
96,0.5131,532.028809,0.472533,0.665333
97,0.5243,532.729492,0.476133,0.665333
98,0.5354,528.242432,0.487200,0.665333
99,0.5465,527.342957,0.497600,0.665333
100,0.5577,526.968506,0.496933,0.665333
101,0.5688,528.037415,0.513600,0.665333
102,0.5799,525.508606,0.514267,0.665333
103,0.5911,524.499817,0.519600,0.665333
104,0.6022,522.114685,0.527733,0.665333
