graph_id,made_best_E,ratio_vs_xlsx_gurobi_mean,ratio_vs_xlsx_sa_mean,time_s
0,0.724000,1.010421,1.015789,163.32
1,0.724000,1.010421,1.015789,162.88
2,0.718667,1.002977,1.008306,159.95
3,0.722667,1.008560,1.013918,162.58
4,0.733333,1.023446,1.028884,160.47
5,0.721333,1.006699,1.012047,169.14
6,0.736000,1.027168,1.032625,96.12
7,0.724000,1.010421,1.015789,140.68
8,0.718667,1.002977,1.008306,139.37
9,0.729333,1.017864,1.023271,87.73
10,0.729333,1.017864,1.023271,87.06
11,0.728000,1.016003,1.021401,167.47
12,0.724000,1.010421,1.015789,167.96
13,0.720000,1.004838,1.010177,115.45
14,0.721333,1.006699,1.012047,85.79
15,0.722667,1.008560,1.013918,87.19
16,0.726667,1.014142,1.019530,89.09
17,0.726667,1.014142,1.019530,91.47
18,0.726667,1.014142,1.019530,90.84
19,0.724000,1.010421,1.015789,107.43
20,0.710667,0.991812,0.997082,95.41
21,0.726667,1.014142,1.019530,93.08
22,0.720000,1.004838,1.010177,95.59
23,0.722667,1.008560,1.013918,95.36
24,0.722667,1.008560,1.013918,116.79
25,0.718667,1.002977,1.008306,153.98
26,0.718667,1.002977,1.008306,160.33
27,0.718667,1.002977,1.008306,163.36
28,0.721333,1.006699,1.012047,128.03
29,0.717333,1.001116,1.006435,98.11
30,0.725333,1.012281,1.017659,100.97
31,0.724000,1.010421,1.015789,128.73
32,0.720000,1.004838,1.010177,169.92
33,0.713333,0.995534,1.000823,173.52
34,0.720000,1.004838,1.010177,168.68
35,0.730667,1.019725,1.025142,166.05
36,0.728000,1.016003,1.021401,9688.29
37,0.729333,1.017864,1.023271,164.84
38,0.721333,1.006699,1.012047,161.55
39,0.722667,1.008560,1.013918,161.54
40,0.724000,1.010421,1.015789,158.99
41,0.725333,1.012281,1.017659,160.48
42,0.728000,1.016003,1.021401,162.34
43,0.717333,1.001116,1.006435,165.35
44,0.721333,1.006699,1.012047,162.50
45,0.721333,1.006699,1.012047,125.04
46,0.733333,1.023446,1.028884,150.13
47,0.722667,1.008560,1.013918,123.16
48,0.730667,1.019725,1.025142,108.75
49,0.718667,1.002977,1.008306,109.11
