graph_id,made_best_E,ratio_vs_xlsx_gurobi_mean,ratio_vs_xlsx_sa_mean,time_s
0,0.655492,0.964378,1.011040,76.80
1,0.671736,0.988277,1.036095,77.28
2,0.668622,0.983696,1.031292,75.30
3,0.653390,0.961286,1.007798,74.39
4,0.648912,0.954697,1.000891,76.96
5,0.678845,0.998736,1.047060,68.69
6,0.632096,0.929958,0.974955,51.81
7,0.642741,0.945619,0.991373,66.88
8,0.712471,1.048208,1.098926,56.27
9,0.664293,0.977326,1.024614,74.77
10,0.644591,0.948341,0.994227,75.08
11,0.670283,0.986140,1.033855,72.29
12,0.649070,0.954930,1.001134,76.14
13,0.664143,0.977106,1.024384,77.17
14,0.653298,0.961150,1.007656,72.73
15,0.661104,0.972635,1.019697,76.11
16,0.635995,0.935694,0.980968,61.76
17,0.680771,1.001570,1.050032,75.09
18,0.648632,0.954286,1.000459,74.60
19,0.652555,0.960057,1.006510,43.13
20,0.647749,0.952987,0.999098,74.86
21,0.621140,0.913839,0.958055,71.00
22,0.653363,0.961246,1.007756,72.13
23,0.694441,1.021682,1.071116,71.28
24,0.643047,0.946069,0.991845,70.92
25,0.678126,0.997678,1.045951,69.67
26,0.664334,0.977388,1.024679,70.52
27,0.650067,0.956398,1.002673,70.37
28,0.669205,0.984553,1.032191,70.19
29,0.663522,0.976192,1.023425,74.78
30,0.654991,0.963641,1.010267,69.89
31,0.638907,0.939978,0.985459,69.76
32,0.647415,0.952496,0.998583,71.03
33,0.648723,0.954420,1.000600,71.60
34,0.676752,0.995658,1.043833,70.93
35,0.604519,0.889386,0.932419,70.44
36,0.659810,0.970731,1.017700,70.03
37,0.658675,0.969062,1.015950,69.70
38,0.695563,1.023332,1.072846,73.45
39,0.678048,0.997563,1.045831,58.30
40,0.670050,0.985796,1.033494,42.05
41,0.684648,1.007274,1.056012,41.22
42,0.675786,0.994236,1.042342,40.58
43,0.663622,0.976340,1.023581,41.33
44,0.660265,0.971401,1.018403,51.93
45,0.669096,0.984393,1.032024,73.60
46,0.657820,0.967804,1.014632,73.17
47,0.652113,0.959407,1.005828,43.47
48,0.663592,0.976296,1.023534,66.12
49,0.637605,0.938062,0.983451,58.89
