step,beta,loss,buf_mean_E,buf_best_E
0,0.0010,533.689758,-0.010602,0.116919
1,0.0010,534.213135,0.007432,0.571689
2,0.0010,537.341736,0.009414,0.571689
3,0.0010,533.359070,0.004391,0.571689
4,0.0010,532.744812,0.000300,0.571689
5,0.0010,534.853394,-0.002025,0.571689
6,0.0010,531.231506,0.006238,0.571689
7,0.0010,536.004517,0.001595,0.571689
8,0.0010,534.617310,0.007187,0.571689
9,0.0010,535.602173,0.004104,0.571689
10,0.0010,536.494751,0.003917,0.571689
11,0.0010,533.438110,-0.002081,0.571689
12,0.0010,535.636414,-0.010493,0.571689
13,0.0010,534.853943,-0.006691,0.571689
14,0.0010,535.965271,-0.000514,0.571689
15,0.0010,536.498413,0.002382,0.571689
16,0.0010,534.525696,-0.000560,0.571689
17,0.0010,535.419373,0.006398,0.571689
18,0.0010,534.120056,-0.000061,0.571689
19,0.0010,533.834045,-0.008919,0.571689
20,0.0010,536.200684,-0.006513,0.571689
21,0.0010,535.102234,-0.008937,0.571689
22,0.0010,535.869934,-0.005686,0.571689
23,0.0010,536.336060,0.004931,0.571689
24,0.0010,533.588562,-0.002122,0.571689
25,0.0010,536.531250,-0.001227,0.571689
26,0.0010,536.092773,0.003466,0.571689
27,0.0010,533.933777,-0.012032,0.571689
28,0.0010,536.449890,-0.004531,0.571689
29,0.0010,534.571960,0.005809,0.571689
30,0.0010,535.419617,0.000648,0.571689
31,0.0010,535.296692,0.005378,0.571689
32,0.0010,537.733582,0.001891,0.571689
33,0.0010,534.452454,-0.003470,0.571689
34,0.0010,532.388184,0.005460,0.571689
35,0.0010,534.873474,0.005038,0.571689
36,0.0010,535.318298,0.014561,0.571689
37,0.0010,536.808777,0.010091,0.571689
38,0.0010,533.020874,0.009333,0.571689
39,0.0010,533.716919,-0.002949,0.571689
40,0.0010,535.889954,0.002705,0.571689
41,0.0010,537.682434,0.013438,0.571689
42,0.0010,535.230896,0.005125,0.571689
43,0.0010,534.069458,0.005455,0.571689
44,0.0010,534.979797,0.001802,0.571689
45,0.0010,533.433533,0.010177,0.571689
46,0.0010,534.800903,0.006327,0.571689
47,0.0010,536.013611,0.002341,0.571689
48,0.0010,537.062439,-0.003798,0.571689
49,0.0010,537.876160,0.006260,0.571689
50,0.0010,534.397766,0.011516,0.571689
51,0.0121,536.492737,0.013893,0.571689
52,0.0233,536.036316,0.021774,0.571689
53,0.0344,535.207703,0.029094,0.571689
54,0.0455,531.693054,0.042907,0.571689
55,0.0567,537.652039,0.061312,0.571689
56,0.0678,536.068604,0.068181,0.571689
57,0.0789,536.681458,0.079983,0.571689
58,0.0901,533.165710,0.092988,0.571689
59,0.1012,536.275452,0.101398,0.571689
60,0.1123,537.449646,0.121479,0.571689
61,0.1235,538.056641,0.127148,0.571689
62,0.1346,535.446899,0.136655,0.571689
63,0.1457,534.971191,0.155992,0.571689
64,0.1569,534.134399,0.167262,0.571689
65,0.1680,534.552673,0.176074,0.571689
66,0.1791,533.346313,0.181736,0.571689
67,0.1903,536.756958,0.187197,0.571689
68,0.2014,534.096497,0.207760,0.571689
69,0.2125,536.803894,0.213649,0.571689
70,0.2237,533.472778,0.225605,0.571689
71,0.2348,534.292908,0.233571,0.571689
72,0.2459,538.012024,0.243128,0.571689
73,0.2571,535.285278,0.256706,0.571689
74,0.2682,537.367981,0.258314,0.571689
75,0.2793,535.920532,0.277739,0.571689
76,0.2905,536.731934,0.289965,0.571689
77,0.3016,533.710754,0.285711,0.571689
78,0.3127,535.299438,0.297713,0.571689
79,0.3239,534.832031,0.305890,0.571689
80,0.3350,534.788269,0.321202,0.571689
81,0.3461,533.750610,0.332355,0.571689
82,0.3573,535.971191,0.334835,0.571689
83,0.3684,536.181274,0.350000,0.571689
84,0.3795,533.323425,0.359223,0.571689
85,0.3907,534.528809,0.365806,0.571689
86,0.4018,536.676758,0.365146,0.571689
87,0.4129,533.481262,0.376194,0.571689
88,0.4241,534.816284,0.386027,0.571689
89,0.4352,532.957214,0.390779,0.571689
90,0.4463,533.566101,0.400077,0.571689
91,0.4575,532.934387,0.412291,0.571689
92,0.4686,535.690369,0.409368,0.571689
93,0.4797,534.091980,0.426786,0.571689
94,0.4909,532.576111,0.425326,0.571689
95,0.5020,531.957581,0.439598,0.571689
96,0.5131,531.578308,0.436701,0.571689
97,0.5243,532.384216,0.442706,0.571689
98,0.5354,528.587402,0.445193,0.571689
99,0.5465,531.573853,0.455191,0.571689
100,0.5577,530.232300,0.461608,0.571689
101,0.5688,528.822205,0.468561,0.571689
102,0.5799,527.759399,0.481526,0.571689
103,0.5911,527.906494,0.486325,0.571689
104,0.6022,526.935852,0.488234,0.571689
105,0.6133,525.477966,0.488422,0.571689
106,0.6245,523.896667,0.493026,0.571689
107,0.6356,524.512939,0.506206,0.571689
108,0.6468,521.054688,0.505726,0.571689
109,0.6579,521.507324,0.506279,0.571689
110,0.6690,517.868103,0.514403,0.571689
111,0.6802,518.350769,0.524480,0.571689
112,0.6913,518.919006,0.523015,0.571689
113,0.7024,514.979675,0.529246,0.572473
114,0.7136,514.750793,0.530778,0.576186
115,0.7247,512.971130,0.537442,0.576186
116,0.7358,510.370819,0.540063,0.576785
117,0.7470,509.024994,0.542396,0.582865
118,0.7581,507.705170,0.551632,0.582865
119,0.7692,502.635254,0.558716,0.587258
120,0.7804,496.734711,0.560091,0.596798
121,0.7915,493.325104,0.562826,0.596798
122,0.8026,488.151093,0.568174,0.600929
123,0.8138,485.784668,0.567031,0.600929
124,0.8249,482.631256,0.569725,0.600929
125,0.8360,480.311859,0.576320,0.614695
126,0.8472,477.504059,0.578850,0.620375
127,0.8583,472.210449,0.580148,0.620375
128,0.8694,466.895020,0.580131,0.622517
129,0.8806,463.948944,0.583381,0.622517
130,0.8917,457.464081,0.589032,0.622517
131,0.9028,455.693573,0.588376,0.623098
132,0.9140,452.515106,0.594262,0.624045
133,0.9251,448.610840,0.594062,0.624045
134,0.9362,442.358398,0.594436,0.625051
135,0.9474,434.870331,0.600553,0.625051
136,0.9585,430.703918,0.599658,0.625446
137,0.9696,425.449432,0.598728,0.627099
138,0.9808,418.878723,0.602346,0.627099
139,0.9919,416.280365,0.602730,0.627099
140,1.0030,408.004181,0.603409,0.627099
141,1.0142,403.682800,0.604458,0.637049
142,1.0253,397.124847,0.608699,0.641110
143,1.0364,390.579468,0.611566,0.641110
144,1.0476,387.081451,0.612865,0.642583
145,1.0587,380.856415,0.615426,0.643865
146,1.0698,376.681122,0.614924,0.643865
147,1.0810,371.380951,0.619646,0.643865
148,1.0921,366.665344,0.618598,0.643865
149,1.1032,357.161560,0.620582,0.644147
150,1.1144,352.127747,0.621485,0.644147
151,1.1255,347.861481,0.622386,0.644147
152,1.1366,345.554901,0.624778,0.644147
153,1.1478,339.485931,0.623837,0.648203
154,1.1589,332.616760,0.627850,0.649907
155,1.1700,329.966034,0.627788,0.649907
156,1.1812,325.326569,0.628598,0.651083
157,1.1923,319.147003,0.628708,0.651083
158,1.2034,313.647766,0.630164,0.651083
159,1.2146,306.008514,0.631275,0.651083
160,1.2257,302.090302,0.630080,0.651083
161,1.2368,296.460907,0.632920,0.651083
162,1.2480,292.063385,0.632935,0.651876
163,1.2591,285.894684,0.633570,0.651876
164,1.2702,285.208099,0.635794,0.651876
165,1.2814,281.716553,0.636966,0.651876
166,1.2925,276.341370,0.636928,0.651876
167,1.3036,272.962341,0.635457,0.651876
168,1.3148,266.914215,0.636496,0.651876
169,1.3259,262.605957,0.635541,0.652061
170,1.3370,259.360291,0.637922,0.653559
171,1.3482,255.141113,0.638361,0.653559
172,1.3593,252.069366,0.639624,0.660102
173,1.3704,248.407379,0.640413,0.660102
174,1.3816,242.211700,0.641385,0.660102
175,1.3927,237.735397,0.642024,0.663279
176,1.4038,231.643341,0.642920,0.663279
177,1.4150,232.442902,0.641555,0.663279
178,1.4261,227.330597,0.642576,0.664360
